,PFC
790,33.36
791,35.31
792,36.13
793,36.29
794,37.24
795,38.95
796,40.35
797,40.45
798,41.04
799,41.04
800,41.24
801,41.85
802,41.24
803,41.24
804,41.24
805,41.86
806,41.96
807,41.97
808,41.86
809,41.86
810,41.86
811,41.87
812,41.87
813,41.87
814,41.87
815,41.87
816,41.26
817,41.26
818,41.26
819,41.26
820,41.26
821,41.26
822,41.26
823,41.06
824,41.26
825,41.27
826,41.27
827,41.27
828,41.88
829,41.88
830,41.89
831,41.89
832,41.89
833,41.89
834,42.1
835,42.96
836,42.96
837,43.74
838,44.09
839,44.09
840,43.75
841,42.97
842,42.97
843,42.97
844,42.97
845,42.97
846,42.97
847,42.75
848,42.11
849,41.91
850,41.91
851,41.29
852,41.29
853,41.3
854,41.3
855,41.1
856,41.3
857,41.3
858,41.3
859,41.1
860,41.1
861,41.1
862,40.42
863,40.42
864,40.42
865,40.52
866,40.52
867,40.42
868,40.42
869,40.42
870,40.42
871,40.42
872,40.43
873,40.43
874,41.12
875,41.12
876,41.12
877,41.12
878,41.12
879,41.12
880,41.32
881,41.32
882,41.33
883,41.94
884,42.15
885,43.01
886,43.8
887,45.83
888,53.65
889,54.69
890,56.9
891,58.49
892,62.18
893,64.35
894,65.37
895,65.37
896,69.5
897,69.5
898,69.5
899,69.5
900,69.5
901,69.5
902,69.5
903,69.5
904,75.95
905,75.95
906,75.95
907,75.95
908,79.76
909,79.76
910,79.77
911,79.77
912,84.3
913,84.3
914,84.31
915,84.31
916,84.95
917,84.95
918,84.95
919,84.96
920,84.33
921,84.33
922,84.33
923,84.34
924,84.97
925,84.98
926,85.39
927,85.39
928,84.35
929,84.36
930,84.36
931,84.36
932,84.36
933,84.37
934,84.37
935,84.37
936,84.37
937,84.38
938,84.38
939,84.38
940,78.03
941,78.04
942,78.04
943,78.04
944,66.78
945,66.78
946,66.78
947,66.78
948,64.2
949,62.28
950,60.48
951,58.58
952,58.58
953,58.58
954,57.78
955,56.62
956,54.79
957,53.92
958,53.75
959,53.08
