Unnamed: 0,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
215,26774.96,16888.89,0.0,1463.0,4823.45
216,27146.83,16968.25,0.0,1442.0,4831.51
217,27261.42,17043.65,0.0,1458.0,4837.55
218,27319.8,16904.76,0.0,1485.0,4849.64
219,27241.96,15980.16,0.0,1488.0,4841.58
220,27181.43,16166.67,0.0,1402.0,4880.86
221,27702.48,16630.95,0.0,1441.0,4883.88
222,27745.72,16484.13,0.0,1457.0,4894.96
223,27579.24,16063.49,0.0,1484.0,4878.85
224,27523.03,16027.78,35.2,1448.0,4908.06
225,27685.19,16059.52,224.42,1425.0,4923.17
226,27315.47,16023.81,853.66,1427.0,4921.15
227,27092.78,16214.29,2063.75,1416.0,4917.12
228,27174.94,15146.83,3933.89,1405.0,4887.91
229,26534.97,14448.41,5980.05,1393.0,4906.04
230,25747.98,14666.67,8026.2,1405.0,4916.12
231,24392.37,13611.11,10345.17,1401.0,4919.14
232,23412.95,13285.71,12479.33,1413.0,4920.14
233,22608.67,13015.87,14595.89,1412.0,4924.17
234,21758.98,12341.27,16501.23,1378.0,4910.07
235,20889.83,11321.43,18138.15,1393.0,4920.14
236,19819.61,10924.6,19273.43,1420.0,4922.16
237,19054.24,10789.68,20848.75,1420.0,4932.23
238,18574.26,10134.92,21715.62,1431.0,4936.26
239,18150.5,9265.87,21610.01,1459.0,4928.2
240,17577.55,9742.06,21570.41,1398.0,4941.29
241,17285.67,9130.95,21411.99,1368.0,4938.27
242,16717.05,7944.44,20892.75,1367.0,4936.26
243,16358.15,7924.6,20184.3,1357.0,4939.28
244,15863.04,7484.13,19533.05,1369.0,4954.39
245,15510.62,6888.89,18780.6,1363.0,4916.12
246,14905.25,7214.29,17926.93,1374.0,4915.11
247,14732.28,6924.6,16457.22,1377.0,4894.96
248,14243.65,6916.67,15057.92,1368.0,4892.95
249,13992.86,7123.02,12998.57,1364.0,4891.94
250,13644.76,7023.81,10851.21,1415.0,4918.13
251,13642.6,6853.17,8659.84,1360.0,4909.06
252,13705.3,6845.24,6292.47,1380.0,4943.31
