Iron_steel,Olefin,Methanol,Ammonia
11467.1,9913.97,616.22,939.89
11355.6,9732.57,604.94,922.69
11310.02,9620.19,597.95,912.03
11192.77,9508.08,590.99,901.41
11173.16,9404.5,584.55,891.59
11092.17,9331.15,579.99,884.63
11093.57,9287.34,577.27,880.48
11073.68,9235.24,574.03,875.54
11020.68,9229.92,573.7,875.04
11071.87,9231.34,573.79,875.17
11080.49,9248.39,574.85,876.79
11042.52,9255.77,575.3,877.49
11066.37,9255.84,575.31,877.49
11061.56,9265.36,575.9,878.4
11079.3,9299.06,577.99,881.59
11126.73,9333.25,580.12,884.83
11119.37,9347.09,580.98,886.14
11150.39,9373.11,582.6,888.61
11104.87,9378.06,582.9,889.08
11172.52,9424.21,585.77,893.46
11169.01,9404.34,584.54,891.57
11190.26,9436.52,586.54,894.62
11184.43,9446.19,587.14,895.54
11198.92,9453.85,587.62,896.27
11183.74,9472.75,588.79,898.06
11212.17,9452.28,587.52,896.12
11217.06,9494.08,590.12,900.08
11243.21,9485.66,589.59,899.28
11199.87,9521.03,591.79,902.63
11207.53,9517.11,591.55,902.26
11192.66,9538.76,592.89,904.31
11263.8,9537.12,592.79,904.16
11222.66,9542.62,593.13,904.68
11232.18,9532.57,592.51,903.73
11264.37,9553.57,593.81,905.72
11216.2,9539.32,592.93,904.37
11245.52,9554.96,593.9,905.85
11223.21,9531.11,592.42,903.59
11262.03,9520.25,591.74,902.56
11222.32,9500.62,590.52,900.7
11243.07,9501.61,590.58,900.79
11200.63,9484.98,589.55,899.22
11200.79,9478.31,589.14,898.58
11190.19,9457.8,587.86,896.64
11222.34,9417.28,585.34,892.8
11157.3,9404.87,584.57,891.62
11134.28,9372.25,582.54,888.53
11099.92,9346.29,580.93,886.07
11120.46,9296.81,577.85,881.38
11066.64,9235.87,574.07,875.6
11026.7,9188.68,571.13,871.13
10968.64,9112.56,566.4,863.91
10946.11,9063.46,563.35,859.25
10914.68,9017.76,560.51,854.92
10907.23,8974.39,557.81,850.81
10864.35,8923.45,554.65,845.98
10849.41,8863.21,550.9,840.27
10827.8,8843.15,549.66,838.37
10815.24,8801.98,547.1,834.47
10748.19,8769.82,545.1,831.42
10769.42,8765.35,544.82,830.99
10771.76,8765.99,544.86,831.05
10792.26,8758.12,544.37,830.31
10780.22,8747.74,543.73,829.32
10742.43,8717.32,541.84,826.44
10738.32,8713.36,541.59,826.06
10738.72,8721.81,542.11,826.86
10756.26,8703.37,540.97,825.12
10729.57,8683.1,539.71,823.19
10703.55,8724.93,542.31,827.16
10723.3,8711.54,541.48,825.89
10749.02,8687.85,540.0,823.65
10733.53,8710.75,541.43,825.82
10737.11,8706.63,541.17,825.43
10712.34,8712.14,541.51,825.95
10707.51,8705.92,541.13,825.36
10733.88,8695.81,540.5,824.4
10733.32,8719.43,541.97,826.64
10717.37,8705.68,541.11,825.34
10727.73,8704.31,541.03,825.21
10766.81,8692.11,540.27,824.05
10761.58,8689.07,540.08,823.76
10720.01,8684.41,539.79,823.32
10747.67,8725.97,542.37,827.26
10733.37,8699.1,540.7,824.71
10717.56,8679.52,539.49,822.86
10752.55,8727.24,542.45,827.38
10723.99,8700.85,540.81,824.88
10753.73,8698.57,540.67,824.66
10745.66,8688.51,540.05,823.71
10730.51,8707.96,541.25,825.55
10734.6,8714.04,541.63,826.13
10744.65,8707.8,541.24,825.54
10758.05,8693.46,540.35,824.18
10733.62,8684.34,539.79,823.31
10711.75,8705.38,541.09,825.31
10747.01,8698.0,540.63,824.61
10729.66,8702.49,540.91,825.03
10740.02,8702.71,540.93,825.05
10720.87,8677.08,539.33,822.62
10729.75,8712.55,541.54,825.99
10737.59,8694.9,540.44,824.31
10709.49,8702.91,540.94,825.07
10724.79,8696.84,540.56,824.5
10697.6,8708.05,541.26,825.56
10732.83,8702.21,540.9,825.01
10691.39,8720.91,542.06,826.78
10722.82,8704.2,541.02,825.19
10678.95,8700.6,540.8,824.85
10738.41,8686.93,539.95,823.56
10721.61,8690.92,540.19,823.94
10724.89,8703.01,540.95,825.08
10739.71,8691.47,540.23,823.99
10734.11,8702.36,540.91,825.02
10741.8,8708.54,541.29,825.61
10757.08,8704.87,541.06,825.26
10705.92,8702.66,540.92,825.05
10731.29,8687.23,539.97,823.59
10714.39,8702.62,540.92,825.04
10716.27,8694.81,540.44,824.3
10748.38,8694.76,540.43,824.3
10734.38,8707.88,541.25,825.54
10709.76,8696.34,540.53,824.45
10735.27,8722.83,542.18,826.96
10748.29,8690.9,540.19,823.93
10731.17,8697.84,540.62,824.59
10727.68,8720.26,542.02,826.72
10747.67,8696.27,540.53,824.44
10769.72,8712.96,541.57,826.03
10702.29,8704.95,541.07,825.27
10746.37,8709.57,541.35,825.7
10734.77,8712.27,541.52,825.96
10734.87,8702.84,540.94,825.07
10729.24,8693.71,540.37,824.2
10699.04,8695.11,540.46,824.33
10752.03,8692.94,540.32,824.13
10754.94,8688.17,540.02,823.68
10743.28,8714.35,541.65,826.16
10715.21,8705.8,541.12,825.35
10728.52,8715.87,541.75,826.3
10728.35,8709.7,541.36,825.72
10744.31,8697.05,540.58,824.52
10739.5,8696.16,540.52,824.43
10709.83,8712.86,541.56,826.02
10721.74,8716.5,541.78,826.36
10718.63,8694.72,540.43,824.3
10723.25,8694.81,540.44,824.3
10729.07,8715.01,541.69,826.22
10730.36,8707.36,541.22,825.49
10716.39,8701.29,540.84,824.92
10703.48,8693.81,540.37,824.21
10735.67,8714.25,541.64,826.15
10729.7,8716.05,541.76,826.32
10740.71,8694.13,540.39,824.24
10730.59,8690.74,540.18,823.92
10729.9,8711.65,541.48,825.9
10707.41,8688.09,540.02,823.67
10720.11,8689.68,540.12,823.82
10748.95,8698.15,540.64,824.62
10760.03,8694.64,540.43,824.29
10741.99,8716.73,541.8,826.38
10720.49,8703.48,540.98,825.13
10757.88,8724.99,542.31,827.17
10722.2,8710.56,541.42,825.8
10719.09,8694.3,540.41,824.26
10727.4,8711.7,541.49,825.91
10766.41,8682.84,539.69,823.17
10744.49,8722.03,542.13,826.89
10743.76,8717.98,541.88,826.5
10762.56,8724.19,542.26,827.09
10815.6,8799.05,546.92,834.19
10848.34,8860.15,550.71,839.98
