tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
156,0.9,1.8,11.88,33.84,60.0,20.7,87
157,0.9,1.8,11.88,33.84,60.0,20.7,87
158,0.9,1.8,11.88,33.84,60.0,20.7,87
159,0.9,1.8,11.88,33.84,60.0,20.7,87
160,0.9,1.8,11.88,33.84,60.0,20.7,87
161,0.9,1.8,11.88,33.84,60.0,20.7,87
162,0.9,1.8,11.88,33.84,60.0,20.7,87
163,0.9,1.8,11.88,33.84,60.0,20.7,87
164,0.9,1.8,11.88,33.84,60.0,20.7,87
165,0.9,1.8,11.88,33.84,60.0,20.7,87
166,0.9,1.8,11.88,33.84,60.0,20.7,87
167,0.9,1.8,11.88,33.84,60.0,20.7,87
168,0.9,1.8,11.88,33.84,60.0,20.7,87
169,0.9,1.8,11.88,33.84,60.0,20.7,87
170,0.9,1.8,11.88,33.84,60.0,20.7,87
171,0.9,1.8,11.88,33.84,60.0,20.7,87
172,0.9,1.8,11.88,33.84,60.0,20.7,87
173,0.9,1.8,11.88,33.84,60.0,20.7,87
174,0.9,1.8,11.88,33.84,60.0,20.7,87
175,0.9,1.8,11.88,33.84,60.0,20.7,87
176,0.9,1.8,11.88,33.84,60.0,20.7,87
177,0.9,1.8,11.88,33.84,60.0,20.7,87
178,0.9,1.8,11.88,33.84,60.0,20.7,87
179,0.9,1.8,11.88,33.84,60.0,20.7,87
180,0.9,1.8,11.88,33.84,60.0,20.7,87
181,0.9,1.8,11.88,33.84,60.0,20.7,87
182,0.9,1.8,11.88,33.84,60.0,20.7,87
183,0.9,1.8,11.88,33.84,60.0,20.7,87
184,0.9,1.8,11.88,33.84,60.0,20.7,87
185,0.9,1.8,11.88,33.84,60.0,20.7,87
186,0.9,1.8,11.88,33.84,60.0,20.7,87
187,0.9,1.8,11.88,33.84,60.0,20.7,87
188,0.9,1.8,11.88,33.84,60.0,20.7,87
189,0.9,1.8,11.88,33.84,60.0,20.7,87
190,0.9,1.8,11.88,33.84,60.0,20.7,87
191,0.9,1.8,11.88,33.84,60.0,20.7,87
192,0.9,1.8,11.88,33.84,60.0,20.7,87
193,0.9,1.8,11.88,33.84,60.0,20.7,87
194,0.9,1.8,11.88,33.84,60.0,20.7,87
195,0.9,1.8,11.88,33.84,60.0,20.7,87
196,0.9,1.8,11.88,33.84,60.0,20.7,87
197,0.9,1.8,11.88,33.84,60.0,20.7,87
198,0.9,1.8,11.88,33.84,60.0,20.7,87
199,0.9,1.8,11.88,33.84,60.0,20.7,87
200,0.9,1.8,11.88,33.84,60.0,20.7,87
201,0.9,1.8,11.88,33.84,60.0,20.7,87
202,0.9,1.8,11.88,33.84,60.0,20.7,87
203,0.9,1.8,11.88,33.84,60.0,20.7,87
204,0.9,1.8,11.88,33.84,60.0,20.7,87
205,0.9,1.8,11.88,33.84,60.0,20.7,87
206,0.9,1.8,11.88,33.84,60.0,20.7,87
207,0.9,1.8,11.88,33.84,60.0,20.7,87
208,0.9,1.8,11.88,33.84,60.0,20.7,87
209,0.9,1.8,11.88,33.84,60.0,20.7,87
210,0.9,1.8,11.88,33.84,60.0,20.7,87
211,0.9,1.8,11.88,33.84,60.0,20.7,87
212,0.9,1.8,11.88,33.84,60.0,20.7,87
213,0.9,1.8,11.88,33.84,60.0,20.7,87
214,0.9,1.8,11.88,33.84,60.0,20.7,87
215,0.9,1.8,11.88,33.84,60.0,20.7,87
216,0.9,1.8,11.88,33.84,60.0,20.7,87
217,0.9,1.8,11.88,33.84,60.0,20.7,87
218,0.9,1.8,11.88,33.84,60.0,20.7,87
219,0.9,1.8,11.88,33.84,60.0,20.7,87
