tick,Elec_x,Iron_steel
542,260,8.045.307.805
543,260.4,4.079.728.174
544,262.7,8.990.621.789
545,265.3,0
546,265.7,0
547,266.2,0
548,269.9,0
549,270.6,0
550,277.3,0
551,280.9,0
552,281.2,0
553,280.6,0
554,279.1,0
555,278.1,0
556,276.8,0
557,274.7,0
558,271.8,0
559,269,0
560,264.7,0
561,259.7,0
562,255.4,0
563,252,0
564,249.9,0
565,247.1,0
566,244.9,0
567,243.2,0
568,243.5,0
569,240.9,0
570,236.6,0
571,232,0
572,228,0
573,223.6,0
574,219.6,0
575,215.3,0
576,213.3,0
577,210.4,0
578,207.5,0
579,205.4,0
580,202.5,0
581,200.7,0
582,200,0
583,199.5,0
584,196.9,0
585,196.3,0
586,195.7,0
587,195.3,0
588,196.2,0
589,196.3,0
590,196.4,0
591,197.8,0
592,199.9,0
593,202.2,0
594,203.2,0
595,206.1,0
596,211,0
597,214.1,0
598,219.1,0
599,224.7,0
600,236.4,0
601,245,0
602,253.8,0
603,263,0
604,270.5,0
605,275.1,0
606,279.6,8.878.979.501
607,282.8,6.837.292.683
608,286.4,1.034.536.678
609,287.9,156.508.817
610,288.1,1.907.214.822
611,287.5,2.185.477.528
612,287.3,2.259.662.689
613,287.4,2.442.642.121
614,288.1,2.259.184.222
615,289.4,2.348.953.735
616,289.3,2.271.647.147
617,289.7,238.502.103
618,290.7,22.971.426
619,290.9,2.289.806.107
620,293.4,229.807.675
621,297,2.300.674.142
622,298.7,2.321.589.983
623,299.1,2.426.191.971
624,297.6,2.495.182.348
625,297.2,2.547.039.052
626,297.7,2.474.357.644
627,297.8,2.591.171.932
628,298,2.443.166.156
629,295.6,2.414.389.786
630,292.4,255.583.373
631,291.2,2.314.982.582
632,291.7,2.154.445.529
633,291.9,2.066.407.611
634,291.2,1.863.719.898
635,290.4,1.669.280.044
636,291.8,1.384.911.188
637,290,1.022.962.334
638,289.4,8.164.696.701
639,289.8,4.052.159.364
640,290.1,0
641,291.8,0
642,294.3,0
643,297.9,0
