Iron_steel,Olefin,Methanol,Ammonia
4442.06,3778.22,234.84,358.19
4440.46,3773.28,234.53,357.72
4449.52,3774.23,234.59,357.81
4447.94,3778.5,234.86,358.22
4451.47,3776.18,234.71,358.0
4453.38,3779.49,234.92,358.31
4458.5,3784.58,235.24,358.79
4460.97,3782.45,235.1,358.59
4476.22,3781.22,235.03,358.48
4467.22,3780.74,235.0,358.43
4476.81,3788.68,235.49,359.18
4467.69,3779.3,234.91,358.29
4459.44,3790.81,235.62,359.39
4462.1,3782.09,235.08,358.56
4460.87,3778.32,234.85,358.2
4446.93,3769.15,234.28,357.33
4431.28,3769.19,234.28,357.34
4422.15,3761.85,233.82,356.64
4401.62,3746.48,232.87,355.18
4388.31,3744.66,232.75,355.01
4358.34,3724.5,231.5,353.1
4317.38,3714.41,230.87,352.14
4301.64,3702.98,230.16,351.06
4271.82,3690.92,229.41,349.91
4260.01,3672.39,228.26,348.16
4225.1,3656.95,227.3,346.69
4194.81,3643.88,226.49,345.45
4197.54,3637.11,226.07,344.81
4155.73,3623.23,225.21,343.5
4137.14,3622.88,225.18,343.46
4123.19,3608.2,224.27,342.07
4115.65,3596.67,223.56,340.98
4099.97,3590.36,223.16,340.38
4082.22,3583.2,222.72,339.7
4075.04,3592.17,223.28,340.55
4068.45,3584.66,222.81,339.84
4070.46,3586.44,222.92,340.01
4070.55,3585.77,222.88,339.95
4060.62,3579.14,222.47,339.32
4059.25,3583.18,222.72,339.7
4050.02,3577.26,222.35,339.14
4060.51,3576.16,222.28,339.04
4059.21,3575.86,222.26,339.01
4047.41,3570.45,221.93,338.49
4024.65,3570.82,221.95,338.53
4037.11,3561.17,221.35,337.61
4003.96,3556.39,221.05,337.16
3990.08,3540.42,220.06,335.65
3973.3,3530.7,219.45,334.73
3947.11,3523.98,219.04,334.09
3914.72,3496.64,217.34,331.5
3860.38,3481.34,216.39,330.05
3799.14,3451.86,214.55,327.25
3735.39,3407.87,211.82,323.08
3700.34,3392.96,210.89,321.67
3685.24,3381.94,210.21,320.62
3690.76,3377.54,209.93,320.2
3683.82,3380.96,210.15,320.53
3697.31,3380.78,210.14,320.51
3682.46,3384.44,210.36,320.86
3642.67,3296.11,204.87,312.49
3590.37,3211.56,199.62,304.47
3532.88,3124.27,194.19,296.19
3487.25,3034.63,188.62,287.7
3440.13,2974.19,184.86,281.97
3406.68,2919.77,181.48,276.81
3393.0,2886.06,179.39,273.61
3357.83,2852.43,177.3,270.42
3351.95,2821.35,175.36,267.48
3327.65,2799.34,174.0,265.39
3328.07,2786.2,173.18,264.14
3322.1,2770.57,172.21,262.66
3306.2,2768.98,172.11,262.51
3321.56,2769.4,172.14,262.55
3324.15,2774.52,172.45,263.04
3312.76,2776.73,172.59,263.25
3319.91,2776.75,172.59,263.25
3318.47,2779.61,172.77,263.52
3323.79,2789.72,173.4,264.48
3338.02,2799.97,174.04,265.45
3335.81,2804.13,174.29,265.84
3345.12,2811.93,174.78,266.58
3331.46,2813.42,174.87,266.72
3351.76,2827.26,175.73,268.04
