,Iron_steel,Olefin,Methanol,Ammonia
10536,18516.67,56993.67,3542.51,5403.24
10537,18549.28,56964.01,3540.67,5400.43
10538,18534.06,56955.13,3540.12,5399.59
10539,18537.02,56809.84,3531.09,5385.81
10540,18544.02,56781.62,3529.33,5383.14
10541,18546.68,56849.39,3533.54,5389.56
10542,18527.62,56831.34,3532.42,5387.85
10543,18580.21,56992.38,3542.43,5403.12
10544,18548.07,56906.92,3537.12,5395.02
10545,18588.14,57095.69,3548.85,5412.91
10546,18630.02,57277.15,3560.13,5430.12
10547,18652.56,57557.12,3577.53,5456.66
10548,18709.25,58035.65,3607.28,5502.03
10549,18794.92,58505.38,3636.47,5546.56
10550,18943.0,59219.17,3680.84,5614.23
10551,19043.51,60066.53,3733.51,5694.56
10552,19268.28,61212.24,3804.72,5803.18
10553,19503.28,62657.21,3894.54,5940.17
10554,19721.86,64330.94,3998.57,6098.85
10555,20044.49,66264.56,4118.76,6282.16
10556,20467.94,68762.09,4273.99,6518.94
10557,20814.74,71192.01,4425.03,6749.3
10558,21162.07,73152.33,4546.87,6935.15
10559,21224.07,73687.18,4580.12,6985.86
10560,21329.92,74029.55,4601.4,7018.32
10561,21283.51,74204.46,4612.27,7034.9
10562,21318.54,74030.6,4601.46,7018.41
10563,21320.52,74150.76,4608.93,7029.81
10564,21327.94,74046.73,4602.47,7019.94
10565,21383.77,74216.58,4613.02,7036.05
10566,21398.46,74364.0,4622.19,7050.02
10567,21452.81,74318.89,4619.38,7045.75
10568,21482.16,74577.26,4635.44,7070.24
10569,21528.74,74426.38,4626.06,7055.94
10570,21465.47,74291.36,4617.67,7043.14
10571,21387.62,74249.99,4615.1,7039.21
10572,21299.52,74158.55,4609.42,7030.55
10573,21366.42,74142.55,4608.42,7029.03
10574,21288.17,74068.75,4603.83,7022.03
10575,21261.72,73984.27,4598.58,7014.02
10576,21320.83,74042.63,4602.21,7019.55
10577,21350.62,74199.77,4611.98,7034.45
10578,21455.63,74254.15,4615.36,7039.61
10579,21574.21,74640.69,4639.38,7076.25
10580,21741.58,74933.27,4657.57,7103.99
10581,21949.28,75411.07,4687.27,7149.29
10582,22172.55,75895.68,4717.39,7195.23
10583,22338.01,76180.21,4735.07,7222.21
10584,22733.57,76855.8,4777.07,7286.26
10585,23004.52,77417.93,4812.01,7339.55
10586,23394.81,78176.56,4859.16,7411.47
10587,23681.97,78664.45,4889.49,7457.72
10588,23968.11,79304.33,4929.26,7518.39
10589,24248.15,80000.51,4972.53,7584.39
10590,24586.25,80500.52,5003.61,7631.79
10591,24898.21,80880.22,5027.21,7667.79
10592,25056.88,81397.78,5059.38,7716.85
10593,25244.52,81592.35,5071.47,7735.3
10594,25409.72,81868.09,5088.61,7761.44
10595,25515.85,82292.03,5114.96,7801.63
10596,25535.5,82278.62,5114.13,7800.36
10597,25583.52,82224.35,5110.76,7795.22
10598,25578.2,82325.1,5117.02,7804.77
10599,25630.89,82284.08,5114.47,7800.88
10600,25600.02,82314.97,5116.39,7803.81
10601,25632.66,82326.71,5117.12,7804.92
10602,25594.04,82384.8,5120.73,7810.43
10603,25638.64,82409.61,5122.27,7812.78
10604,25651.85,82260.11,5112.98,7798.61
10605,25603.9,82467.05,5125.84,7818.23
10606,25717.13,82364.55,5119.47,7808.51
10607,25620.75,82439.44,5124.12,7815.61
10608,25696.15,82630.18,5135.98,7833.69
10609,25790.33,82484.57,5126.93,7819.89
10610,25758.0,82589.1,5133.43,7829.8
10611,25716.35,82610.3,5134.74,7831.81
10612,25692.21,82644.54,5136.87,7835.05
10613,25760.54,82539.96,5130.37,7825.14
10614,25760.47,82611.73,5134.83,7831.94
10615,25619.46,82383.66,5120.66,7810.32
10616,25573.63,82338.67,5117.86,7806.05
10617,25540.38,82141.18,5105.59,7787.33
10618,25407.46,82031.32,5098.76,7776.92
10619,25309.28,81749.38,5081.23,7750.19
10620,25194.27,81523.48,5067.19,7728.77
10621,25112.73,81354.17,5056.67,7712.72
10622,24884.44,81013.16,5035.47,7680.39
10623,24728.33,80877.47,5027.04,7667.53
10624,24579.4,80447.48,5000.31,7626.76
10625,24498.24,80008.79,4973.04,7585.17
10626,24285.07,79777.34,4958.66,7563.23
10627,24160.08,79606.34,4948.03,7547.02
10628,24071.42,79267.14,4926.95,7514.86
10629,23877.29,79035.86,4912.57,7492.93
10630,23788.44,78876.98,4902.7,7477.87
10631,23686.28,78767.54,4895.89,7467.5
10632,23635.69,78375.24,4871.51,7430.3
10633,23571.94,78414.5,4873.95,7434.03
10634,23455.99,78382.54,4871.96,7431.0
10635,23458.89,78244.32,4863.37,7417.89
10636,23474.02,78202.69,4860.78,7413.95
10637,23396.69,78309.79,4867.44,7424.1
10638,23423.74,78180.1,4859.38,7411.8
10639,23464.32,78173.84,4858.99,7411.21
10640,23385.25,78158.8,4858.06,7409.79
10641,23365.16,78243.3,4863.31,7417.8
10642,23429.49,77972.19,4846.46,7392.09
10643,23348.81,77985.45,4847.28,7393.35
10644,23335.36,78036.51,4850.45,7398.19
10645,23237.75,77862.97,4839.67,7381.74
10646,23174.97,77522.34,4818.5,7349.45
10647,23032.84,77473.37,4815.45,7344.8
10648,22965.35,77135.6,4794.46,7312.78
10649,22829.12,76964.64,4783.83,7296.57
10650,22693.7,76706.85,4767.81,7272.13
10651,22494.58,76366.25,4746.64,7239.84
10652,22220.93,75829.26,4713.26,7188.94
10653,21892.87,75250.07,4677.26,7134.03
10654,21463.08,74389.07,4623.74,7052.4
10655,21278.82,74140.61,4608.3,7028.84
