,Iron_steel,Olefin,Methanol,Ammonia
209,42752.83,148496.84,9230.0,14078.13
210,42976.24,148735.55,9244.84,14100.76
211,43105.66,149154.52,9270.88,14140.48
212,43424.15,149799.58,9310.98,14201.64
213,43782.64,150459.78,9352.01,14264.22
214,44307.21,151787.74,9434.55,14390.12
215,44896.31,152497.33,9478.66,14457.39
216,45399.28,153754.93,9556.83,14576.62
217,46174.88,154839.77,9624.26,14679.47
218,46670.85,156209.78,9709.41,14809.35
219,47378.37,157274.41,9775.58,14910.28
220,47994.87,158431.02,9847.47,15019.93
221,48645.12,159844.58,9935.34,15153.94
222,49261.32,160668.13,9986.53,15232.02
223,49736.73,161641.69,10047.04,15324.32
224,50098.47,162430.06,10096.04,15399.06
225,50408.47,163317.09,10151.17,15483.15
226,50952.76,163680.25,10173.75,15517.58
227,51067.1,164359.78,10215.98,15582.0
228,51020.64,164243.64,10208.77,15570.99
229,51298.81,164751.82,10240.35,15619.17
230,51302.21,164662.96,10234.83,15610.75
231,51257.59,164845.18,10246.15,15628.02
232,51275.8,164897.08,10249.38,15632.94
233,51133.83,164828.6,10245.12,15626.45
234,51115.48,164613.15,10231.73,15606.02
235,51219.74,164654.55,10234.31,15609.95
236,51201.61,164840.85,10245.89,15627.61
237,51242.22,164739.48,10239.58,15618.0
238,51264.19,164883.89,10248.56,15631.69
239,51323.13,165106.1,10262.37,15652.76
240,51351.58,165012.97,10256.58,15643.93
241,51527.06,164959.4,10253.25,15638.85
242,51423.48,164938.6,10251.96,15636.88
243,51533.92,165284.7,10273.47,15669.69
244,51428.88,164875.74,10248.05,15630.92
245,51333.96,165377.98,10279.27,15678.53
246,51364.61,164997.35,10255.61,15642.45
247,51350.46,164832.78,10245.38,15626.85
248,51189.95,164432.74,10220.52,15588.92
249,51009.75,164434.75,10220.64,15589.11
250,50904.71,164114.31,10200.73,15558.73
251,50668.4,163443.9,10159.06,15495.17
252,50515.11,163364.63,10154.13,15487.66
253,50170.2,162485.02,10099.46,15404.27
254,49698.63,162044.68,10072.09,15362.52
255,49517.45,161546.1,10041.1,15315.25
256,49174.18,161019.81,10008.38,15265.36
257,49038.27,160211.74,9958.16,15188.75
258,48636.34,159538.1,9916.29,15124.89
259,48287.73,158967.66,9880.83,15070.81
260,48319.16,158672.67,9862.49,15042.84
261,47837.86,158066.86,9824.84,14985.41
262,47623.84,158051.86,9823.91,14983.99
263,47463.25,157411.07,9784.08,14923.24
264,47376.49,156908.13,9752.82,14875.56
265,47195.97,156632.75,9735.7,14849.45
266,46991.64,156320.52,9716.29,14819.85
267,46909.0,156711.82,9740.62,14856.94
268,46833.19,156384.16,9720.25,14825.88
269,46856.24,156461.93,9725.08,14833.25
270,46857.3,156432.56,9723.26,14830.47
271,46743.04,156143.36,9705.28,14803.05
272,46727.29,156319.64,9716.24,14819.76
273,46621.03,156061.49,9700.19,14795.29
274,46741.73,156013.44,9697.21,14790.74
275,46726.81,156000.28,9696.39,14789.49
276,46590.95,155764.23,9681.72,14767.11
277,46328.99,155780.36,9682.72,14768.64
278,46472.41,155359.55,9656.56,14728.74
279,46090.76,155150.98,9643.6,14708.97
280,45930.97,154454.25,9600.29,14642.92
281,45737.85,154030.12,9573.93,14602.71
282,45436.39,153737.05,9555.72,14574.92
283,45063.49,152544.14,9481.57,14461.83
284,44438.04,151876.92,9440.1,14398.58
285,43732.99,150590.9,9360.16,14276.65
286,42999.23,148671.76,9240.88,14094.71
287,42595.68,148021.24,9200.44,14033.04
288,42421.91,147540.37,9170.55,13987.45
289,42485.47,147348.27,9158.61,13969.24
290,42405.51,147497.67,9167.9,13983.4
291,42560.89,147489.8,9167.41,13982.66
292,42389.95,147649.61,9177.34,13997.81
293,41931.89,143796.05,8937.82,13632.47
294,41329.77,140107.42,8708.55,13282.78
295,40668.08,136299.51,8471.86,12921.77
296,40142.81,132388.76,8228.79,12551.02
297,39600.38,129752.0,8064.9,12301.04
298,39215.32,127377.92,7917.33,12075.97
299,39057.89,125907.05,7825.91,11936.52
300,38652.98,124439.83,7734.71,11797.42
301,38585.27,123084.19,7650.45,11668.9
302,38305.58,122124.13,7590.78,11577.88
303,38310.41,121550.84,7555.14,11523.53
304,38241.72,120868.9,7512.76,11458.88
305,38058.71,120799.26,7508.43,11452.28
306,38235.5,120817.88,7509.58,11454.05
307,38265.24,121041.02,7523.45,11475.2
308,38134.13,121137.61,7529.46,11484.36
309,38216.48,121138.54,7529.51,11484.45
310,38199.89,121263.11,7537.26,11496.26
311,38261.14,121704.19,7564.67,11538.07
312,38424.93,122151.61,7592.48,11580.49
313,38399.53,122332.84,7603.75,11597.67
314,38506.66,122673.31,7624.91,11629.95
315,38349.44,122738.06,7628.94,11636.09
316,38583.07,123342.14,7666.48,11693.36
317,38570.93,123082.01,7650.31,11668.7
318,38644.33,123503.17,7676.49,11708.62
319,38624.19,123629.84,7684.36,11720.63
320,38674.24,123730.05,7690.59,11730.13
321,38621.83,123977.39,7705.97,11753.58
322,38720.0,123709.42,7689.31,11728.18
323,38736.87,124256.56,7723.32,11780.05
324,38827.17,124146.33,7716.47,11769.6
325,38677.51,124609.23,7745.24,11813.48
326,38703.96,124557.95,7742.05,11808.62
327,38652.6,124841.29,7759.66,11835.48
328,38898.29,124819.84,7758.33,11833.45
329,38756.23,124891.8,7762.8,11840.27
330,38789.09,124760.32,7754.63,11827.81
331,38900.27,125035.11,7771.71,11853.86
332,38733.89,124848.67,7760.12,11836.18
333,38835.17,125053.39,7772.85,11855.59
334,38758.13,124741.22,7753.44,11826.0
335,38892.19,124599.1,7744.61,11812.52
336,38755.04,124342.2,7728.64,11788.17
337,38826.71,124355.13,7729.45,11789.39
338,38680.15,124137.42,7715.91,11768.75
339,38680.68,124050.14,7710.49,11760.48
340,38644.08,123781.72,7693.81,11735.03
341,38755.11,123251.39,7660.84,11684.75
342,38530.49,123089.03,7650.75,11669.36
343,38451.02,122662.02,7624.21,11628.88
344,38332.36,122322.37,7603.1,11596.68
345,38403.29,121674.68,7562.84,11535.27
346,38217.43,120877.19,7513.27,11459.67
347,38079.5,120259.53,7474.88,11401.11
348,37878.97,119263.27,7412.95,11306.66
349,37801.19,118620.7,7373.02,11245.74
350,37692.65,118022.55,7335.84,11189.04
351,37666.91,117455.01,7300.56,11135.23
352,37518.84,116788.3,7259.12,11072.03
353,37467.23,115999.87,7210.11,10997.28
354,37392.61,115737.31,7193.79,10972.39
355,37349.25,115198.51,7160.3,10921.31
356,37117.69,114777.58,7134.14,10881.4
357,37191.0,114719.09,7130.51,10875.86
358,37199.08,114727.43,7131.02,10876.65
359,37269.88,114624.4,7124.62,10866.88
360,37228.3,114488.56,7116.18,10854.0
361,37097.78,114090.52,7091.44,10816.26
362,37083.62,114038.71,7088.22,10811.35
363,37084.97,114149.22,7095.08,10821.83
364,37145.55,113907.93,7080.09,10798.95
365,37053.37,113642.57,7063.59,10773.8
366,36963.53,114190.05,7097.62,10825.7
367,37031.73,114014.85,7086.73,10809.09
