,industry_demand,optimalBidamount,elecStandByCons,elecCons,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,all_isRunning,isIdle,isStandBy,isColdStarted,isHotStarted
77,209.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.1,2573.1,27.86,0.0,1.0,0.0,0.0,0.0
78,207.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.5,2365.6,28.23,0.0,1.0,0.0,0.0,0.0
79,204.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.6,2161.0,25.53,0.0,1.0,0.0,0.0,0.0
80,204.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.2,1956.8,28.23,0.0,1.0,0.0,0.0,0.0
81,201.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.4,1755.4,24.92,0.0,1.0,0.0,0.0,0.0
82,198.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.1,1557.3,27.81,0.0,1.0,0.0,0.0,0.0
83,196.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.1,1361.2,24.73,0.0,1.0,0.0,0.0,0.0
84,195.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.9,1165.3,27.61,0.0,1.0,0.0,0.0,0.0
85,195.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.2,970.1,24.63,0.0,1.0,0.0,0.0,0.0
86,193.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.9,776.2,27.0,0.0,1.0,0.0,0.0,0.0
87,193.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.6,582.6,24.56,0.0,1.0,0.0,0.0,0.0
88,196.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.8,385.8,27.92,0.0,1.0,0.0,0.0,0.0
89,194.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.4,191.4,24.63,0.0,1.0,0.0,0.0,0.0
90,191.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.4,0.0,25.3,0.0,1.0,0.0,0.0,0.0
91,188.8,63.861,0.0,61.155,0.206,321.095,188.8,132.295,0.0,132.295,24.53,1.0,0.0,0.0,1.0,0.0
92,184.8,10.0,0.0,10.0,0.0,52.505,52.505,0.0,132.295,0.0,25.12,1.0,0.0,0.0,0.0,0.0
93,181.2,58.512,0.0,58.317,0.195,306.195,181.2,124.995,0.0,124.995,23.84,1.0,0.0,0.0,0.0,0.0
94,177.5,10.0,0.0,10.0,0.0,52.505,52.505,0.0,124.995,0.0,24.56,1.0,0.0,0.0,0.0,0.0
95,174.5,56.007,0.0,55.822,0.185,293.095,174.5,118.595,0.0,118.595,23.81,1.0,0.0,0.0,0.0,0.0
96,171.1,10.0,0.0,10.0,0.0,52.505,52.505,0.0,118.595,0.0,24.53,1.0,0.0,0.0,0.0,0.0
97,166.9,53.407,0.0,53.232,0.175,279.495,166.9,112.595,0.0,112.595,21.91,1.0,0.0,0.0,0.0,0.0
98,165.1,10.0,0.0,10.0,0.0,52.505,52.505,0.0,112.595,0.0,23.84,1.0,0.0,0.0,0.0,0.0
99,162.9,51.916,0.0,51.746,0.17,271.695,162.9,108.795,0.0,108.795,21.74,1.0,0.0,0.0,0.0,0.0
100,161.3,10.0,0.0,10.0,0.0,52.505,52.505,0.0,108.795,0.0,23.72,1.0,0.0,0.0,0.0,0.0
101,158.8,50.52,0.0,50.356,0.165,264.395,158.8,105.595,0.0,105.595,19.52,1.0,0.0,0.0,0.0,0.0
102,158.1,10.0,0.0,10.0,0.0,52.505,52.505,0.0,105.595,0.0,23.68,1.0,0.0,0.0,0.0,0.0
103,157.3,49.851,0.0,49.689,0.161,260.895,157.3,103.595,0.0,103.595,19.39,1.0,0.0,0.0,0.0,0.0
104,156.1,10.0,0.0,10.0,0.0,52.505,52.505,0.0,103.595,0.0,22.16,1.0,0.0,0.0,0.0,0.0
105,155.4,49.239,0.0,49.08,0.159,257.695,155.4,102.295,0.0,102.295,19.33,1.0,0.0,0.0,0.0,0.0
106,154.8,10.0,0.0,10.0,0.0,52.505,52.505,0.0,102.295,0.0,22.11,1.0,0.0,0.0,0.0,0.0
107,154.6,49.048,0.0,48.889,0.159,256.695,154.6,102.095,0.0,102.095,19.28,1.0,0.0,0.0,0.0,0.0
108,154.6,10.0,0.0,10.0,0.0,52.505,52.505,0.0,102.095,0.0,22.06,1.0,0.0,0.0,0.0,0.0
109,154.3,48.914,0.0,48.756,0.158,255.995,154.3,101.695,0.0,101.695,19.11,1.0,0.0,0.0,0.0,0.0
