,industry_demand,optimalBidamount,elecCons,elecStartUpCost,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,isRunning,isStarted
187,208.9,69.626,69.626,0.0,0.0,208.9,208.9,0.0,0.0,0.0,25.52,1.0,0.0
188,205.9,68.626,68.626,0.0,0.0,205.9,205.9,0.0,0.0,0.0,25.15,1.0,0.0
189,203.1,67.693,67.693,0.0,0.0,203.1,203.1,0.0,0.0,0.0,25.03,1.0,0.0
190,199.3,66.427,66.427,0.0,0.0,199.3,199.3,0.0,0.0,0.0,24.62,1.0,0.0
191,195.5,65.16,65.16,0.0,0.0,195.5,195.5,0.0,0.0,0.0,23.89,1.0,0.0
192,192.4,64.127,64.127,0.0,0.0,192.4,192.4,0.0,0.0,0.0,23.78,1.0,0.0
193,188.8,62.927,62.927,0.0,0.0,188.8,188.8,0.0,0.0,0.0,23.78,1.0,0.0
194,184.8,61.594,61.594,0.0,0.0,184.8,184.8,0.0,0.0,0.0,23.51,1.0,0.0
195,182.0,60.661,60.661,0.0,0.0,182.0,182.0,0.0,0.0,0.0,23.51,1.0,0.0
196,178.9,59.627,59.627,0.0,0.0,178.9,178.9,0.0,0.0,0.0,23.51,1.0,0.0
197,177.2,59.061,59.061,0.0,0.0,177.2,177.2,0.0,0.0,0.0,23.46,1.0,0.0
198,174.8,58.261,58.261,0.0,0.0,174.8,174.8,0.0,0.0,0.0,23.46,1.0,0.0
199,173.4,57.794,57.794,0.0,0.0,173.4,173.4,0.0,0.0,0.0,23.15,1.0,0.0
200,172.8,57.594,57.594,0.0,0.0,172.8,172.8,0.0,0.0,0.0,23.15,1.0,0.0
201,171.4,57.128,57.128,0.0,0.0,171.4,171.4,0.0,0.0,0.0,23.15,1.0,0.0
202,170.4,301.137,300.0,0.0,1.137,900.09,170.4,729.69,0.0,729.69,22.6,1.0,0.0
203,170.2,56.728,56.728,0.0,0.0,170.2,170.2,0.0,0.0,729.69,22.6,1.0,0.0
204,169.4,56.461,56.461,0.0,0.0,169.4,169.4,0.0,0.0,729.69,22.6,1.0,0.0
205,169.5,301.138,300.0,0.0,1.138,900.09,169.5,730.59,0.0,1460.28,22.6,1.0,0.0
206,169.6,56.528,56.528,0.0,0.0,169.6,169.6,0.0,0.0,1460.28,22.6,1.0,0.0
207,168.6,56.194,56.194,0.0,0.0,168.6,168.6,0.0,0.0,1460.28,22.6,1.0,0.0
208,169.1,56.361,56.361,0.0,0.0,169.1,169.1,0.0,0.0,1460.28,22.6,1.0,0.0
209,168.9,56.294,56.294,0.0,0.0,168.9,168.9,0.0,0.0,1460.28,22.6,1.0,0.0
210,169.5,56.494,56.494,0.0,0.0,169.5,169.5,0.0,0.0,1460.28,22.6,1.0,0.0
211,168.6,56.194,56.194,0.0,0.0,168.6,168.6,0.0,0.0,1460.28,22.6,1.0,0.0
212,168.8,56.261,56.261,0.0,0.0,168.8,168.8,0.0,0.0,1460.28,22.6,1.0,0.0
213,167.5,55.828,55.828,0.0,0.0,167.5,167.5,0.0,0.0,1460.28,22.6,1.0,0.0
214,166.5,166.416,165.9,0.0,0.516,497.75,166.5,331.25,0.0,1791.53,22.6,1.0,0.0
215,165.0,301.145,300.0,0.0,1.145,900.09,165.0,735.09,0.0,2526.62,22.55,1.0,0.0
216,163.0,301.148,300.0,0.0,1.148,900.09,163.0,737.09,0.0,3263.71,22.55,1.0,0.0
217,163.8,301.147,300.0,0.0,1.147,900.09,163.8,736.29,0.0,4000.0,22.55,1.0,0.0
218,164.8,54.928,54.928,0.0,0.0,164.8,164.8,0.0,0.0,4000.0,22.6,1.0,0.0
219,166.3,55.428,55.428,0.0,0.0,166.3,166.3,0.0,0.0,4000.0,22.6,1.0,0.0
220,167.8,55.928,55.928,0.0,0.0,167.8,167.8,0.0,0.0,4000.0,22.6,1.0,0.0
221,169.0,56.328,56.328,0.0,0.0,169.0,169.0,0.0,0.0,4000.0,23.15,1.0,0.0
222,172.8,57.594,57.594,0.0,0.0,172.8,172.8,0.0,0.0,4000.0,23.46,1.0,0.0
223,175.7,58.561,58.561,0.0,0.0,175.7,175.7,0.0,0.0,4000.0,23.51,1.0,0.0
224,178.3,59.427,59.427,0.0,0.0,178.3,178.3,0.0,0.0,4000.0,23.51,1.0,0.0
225,181.0,60.327,60.327,0.0,0.0,181.0,181.0,0.0,0.0,4000.0,23.51,1.0,0.0
226,183.2,61.061,61.061,0.0,0.0,183.2,183.2,0.0,0.0,4000.0,23.78,1.0,0.0
227,186.0,61.994,61.994,0.0,0.0,186.0,186.0,0.0,0.0,4000.0,23.78,1.0,0.0
228,190.7,63.56,63.56,0.0,0.0,190.7,190.7,0.0,0.0,4000.0,23.89,1.0,0.0
229,194.0,64.66,64.66,0.0,0.0,194.0,194.0,0.0,0.0,4000.0,23.94,1.0,0.0
230,197.7,65.893,65.893,0.0,0.0,197.7,197.7,0.0,0.0,4000.0,24.62,1.0,0.0
231,200.7,66.893,66.893,0.0,0.0,200.7,200.7,0.0,0.0,4000.0,25.03,1.0,0.0
232,204.2,68.06,68.06,0.0,0.0,204.2,204.2,0.0,0.0,4000.0,25.15,1.0,0.0
233,207.2,69.06,69.06,0.0,0.0,207.2,207.2,0.0,0.0,4000.0,25.52,1.0,0.0
234,209.5,69.826,69.826,0.0,0.0,209.5,209.5,0.0,0.0,4000.0,25.52,1.0,0.0
235,213.2,71.06,71.06,0.0,0.0,213.2,213.2,0.0,0.0,4000.0,25.91,1.0,0.0
236,215.8,71.926,71.926,0.0,0.0,215.8,215.8,0.0,0.0,4000.0,26.04,1.0,0.0
237,219.6,10.0,10.0,0.0,0.0,30.003,30.003,0.0,189.597,3810.403,26.57,1.0,0.0
238,223.4,10.0,10.0,0.0,0.0,30.003,30.003,0.0,193.397,3617.006,26.64,1.0,0.0
239,223.3,10.0,10.0,0.0,0.0,30.003,30.003,0.0,193.297,3423.709,26.64,1.0,0.0
240,222.9,10.0,10.0,0.0,0.0,30.003,30.003,0.0,192.897,3230.812,26.64,1.0,0.0
241,222.2,10.0,10.0,0.0,0.0,30.003,30.003,0.0,192.197,3038.615,26.64,1.0,0.0
242,220.5,10.0,10.0,0.0,0.0,30.003,30.003,0.0,190.497,2848.118,26.57,1.0,0.0
243,218.1,10.0,10.0,0.0,0.0,30.003,30.003,0.0,188.097,2660.021,26.57,1.0,0.0
244,216.6,301.065,300.0,0.0,1.065,900.09,216.6,683.49,0.0,3343.511,26.17,1.0,0.0
245,214.9,10.0,10.0,0.0,0.0,30.003,30.003,0.0,184.897,3158.614,26.57,1.0,0.0
246,214.2,71.393,71.393,0.0,0.0,214.2,214.2,0.0,0.0,3158.614,26.17,1.0,0.0
247,211.5,120.553,120.32,0.0,0.233,360.996,211.5,149.496,0.0,3308.11,26.17,1.0,0.0
248,211.0,70.326,70.326,0.0,0.0,211.0,211.0,0.0,0.0,3308.11,26.17,1.0,0.0
249,209.6,69.86,69.86,0.0,0.0,209.6,209.6,0.0,0.0,3308.11,26.17,1.0,0.0
250,208.1,69.36,69.36,0.0,0.0,208.1,208.1,0.0,0.0,3308.11,26.17,1.0,0.0
