industry_demand,allBidQuantity,allCurrentSOC,price
21.32,0.0,1178.7500000000002,26.61
21.58,0.0,1157.1700000000003,24.68
21.96,0.0,1135.2100000000003,27.3
22.34,0.0,1112.8700000000003,25.0
22.33,0.0,1090.5400000000004,27.56
22.29,0.0,1068.2500000000005,24.57
22.22,0.0,1046.0300000000004,27.04
22.05,0.0,1023.9800000000005,24.46
21.81,0.0,1002.1700000000005,24.91
21.66,0.0,980.5100000000006,24.31
21.49,0.0,959.0200000000006,24.37
21.42,0.0,937.6000000000006,24.2
21.15,0.0,916.4500000000006,23.87
21.1,0.0,895.3500000000006,24.57
20.96,0.0,874.3900000000006,23.87
20.81,0.0,853.5800000000006,24.27
20.62,0.0,832.9600000000006,23.87
20.82,0.0,812.1400000000006,24.31
20.81,0.0,791.3300000000006,24.31
20.92,0.0,770.4100000000007,24.32
20.94,0.0,749.4700000000006,24.31
21.12,0.0,728.3500000000006,24.57
21.37,0.0,706.9800000000006,24.65
21.83,0.0,685.1500000000005,24.88
22.39,0.0,662.7600000000006,24.95
22.97,0.0,639.7900000000005,26.42
23.12,0.0,616.6700000000005,25.18
23.47,0.0,593.2000000000005,25.3
23.65,0.0,569.5500000000005,25.18
23.86,0.0,545.6900000000005,25.18
23.74,0.0,521.9500000000005,25.12
23.67,0.0,498.2800000000005,25.12
23.63,0.0,474.6500000000005,25.0
23.55,0.0,451.1000000000005,25.17
23.33,0.0,427.7700000000005,24.65
23.11,0.0,404.6600000000005,24.57
22.95,0.0,381.7100000000005,24.6
22.89,0.0,358.8200000000005,24.68
22.51,0.0,336.3100000000005,23.87
22.14,0.0,314.1700000000005,24.57
21.77,0.0,292.40000000000055,23.71
21.87,0.0,270.53000000000054,24.95
21.75,0.0,248.78000000000054,23.68
21.57,0.0,227.21000000000055,24.57
21.65,0.0,205.56000000000054,23.73
22.01,0.0,183.55000000000055,27.39
21.74,0.0,161.81000000000054,23.68
21.3,0.0,140.51000000000053,24.57
21.01,0.0,119.50000000000053,21.74
20.7,0.0,98.80000000000052,24.46
20.51,0.0,78.29000000000052,19.63
20.14,0.0,58.15000000000052,23.87
19.67,0.0,38.480000000000516,19.39
19.54,100.0,102.29000000000063,23.68
19.17,100.0,183.12000000000063,20.58
18.94,100.0,264.18000000000063,22.16
18.78,100.0,345.40000000000066,19.38
18.52,100.0,426.8800000000007,22.11
18.42,100.0,508.46000000000066,19.33
18.3,100.0,590.1600000000007,22.06
18.11,100.0,672.0500000000006,19.28
17.97,100.0,754.0800000000006,19.28
17.85,100.0,836.2300000000006,21.74
17.83,100.0,918.4000000000005,18.94
17.84,100.0,1000.5600000000005,22.0
17.83,100.0,1082.7300000000005,18.94
17.84,100.0,1164.8900000000006,23.21
17.84,100.0,1247.0500000000006,19.33
17.93,100.0,1329.1200000000006,23.32
18.19,100.0,1410.9300000000005,23.66
18.39,100.0,1492.5400000000004,23.73
18.53,100.0,1574.0100000000004,23.73
18.76,100.0,1655.2500000000005,24.02
19.23,100.0,1736.0200000000004,24.62
19.47,100.0,1816.5500000000004,24.73
19.94,100.0,1896.6100000000004,24.95
20.39,53.840000000000146,1930.0600000000004,25.12
21.27,0.0,1908.7900000000004,27.79
22.13,0.0,1886.6600000000003,28.46
22.75,0.0,1863.9100000000003,28.46
23.16,0.0,1840.7500000000002,31.54
24.01,0.0,1816.7400000000002,34.34
24.62,0.0,1792.1200000000003,35.13
25.22,0.0,1766.9000000000003,38.36
25.75,0.0,1741.1500000000003,38.21
26.1,0.0,1715.0500000000004,38.95
26.39,0.0,1688.6600000000003,39.47
26.5,0.0,1662.1600000000003,38.57
26.69,0.0,1635.4700000000003,39.47
26.79,0.0,1608.6800000000003,40.38
26.97,0.0,1581.7100000000003,39.47
27.14,0.0,1554.5700000000002,37.54
27.23,0.0,1527.3400000000001,34.46
27.35,0.0,1499.9900000000002,34.43
27.42,0.0,1472.5700000000002,36.03
27.48,0.0,1445.0900000000001,36.03
27.65,0.0,1417.44,38.36
27.71,0.0,1389.73,36.03
28.06,0.0,1361.67,40.81
28.23,0.0,1333.44,38.36
28.29,0.0,1305.15,40.81
28.21,0.0,1276.94,38.36
28.17,0.0,1248.77,39.47
28.11,0.0,1220.66,39.47
28.09,0.0,1192.5700000000002,39.72
28.02,0.0,1164.5500000000002,40.81
27.91,0.0,1136.64,38.36
27.71,0.0,1108.93,38.57
27.48,0.0,1081.45,37.71
27.42,0.0,1054.03,38.36
27.29,0.0,1026.74,34.49
27.21,0.0,999.53,37.04
27.16,0.0,972.37,37.54
27.19,0.0,945.18,38.21
27.02,0.0,918.16,35.13
26.94,0.0,891.2199999999999,37.04
26.87,0.0,864.3499999999999,37.54
26.92,0.0,837.43,37.04
27.13,0.0,810.3,37.88
27.49,0.0,782.81,40.58
28.02,0.0,754.79,41.53
28.46,0.0,726.3299999999999,42.05
28.75,0.0,697.5799999999999,41.18
28.96,0.0,668.6199999999999,41.53
29.03,0.0,639.5899999999999,41.28
28.91,0.0,610.68,41.18
28.81,0.0,581.87,40.81
28.75,0.0,553.12,41.18
28.75,0.0,524.37,40.81
28.54,0.0,495.83,39.73
28.21,0.0,467.62,38.36
27.81,0.0,439.81,37.04
27.56,0.0,412.25,33.85
27.06,0.0,385.19,34.34
26.41,0.0,358.78,29.97
25.91,0.0,332.86999999999995,29.94
25.56,0.0,307.30999999999995,29.55
25.34,0.0,281.96999999999997,29.92
25.12,0.0,256.84999999999997,29.28
24.87,0.0,231.97999999999996,29.28
24.53,0.0,207.44999999999996,28.58
24.6,0.0,182.84999999999997,29.43
24.32,0.0,158.52999999999997,28.46
23.87,0.0,134.65999999999997,28.04
23.45,0.0,111.20999999999998,28.03
22.93,0.0,88.27999999999999,27.97
22.49,0.0,65.78999999999999,27.47
22.13,0.0,43.66,27.79
21.83,0.0,21.83,25.18
21.49,100.0,426.15999999999923,26.77
21.16,0.0,404.9999999999992,29.84
20.91,100.0,484.08999999999924,25.53
20.64,0.0,463.44999999999925,28.28
20.41,100.0,543.0399999999993,25.86
20.19,100.0,622.8499999999992,27.89
20.04,100.0,702.8099999999993,25.18
20.01,100.0,782.7999999999993,27.87
19.79,100.0,863.0099999999993,25.07
19.69,100.0,943.3199999999994,27.45
19.65,100.0,1023.6699999999994,25.02
19.77,100.0,1103.8999999999994,27.88
19.8,100.0,1184.0999999999995,25.02
19.82,100.0,1264.2799999999995,27.24
19.95,100.0,1344.3299999999995,25.17
20.0,100.0,1424.3299999999995,27.3
20.09,100.0,1504.2399999999996,25.18
20.09,100.0,1584.1499999999996,26.77
20.24,100.0,1663.9099999999996,25.19
20.3,100.0,1743.6099999999997,25.3
20.85,0.0,1722.7599999999998,28.12
21.06,100.0,1801.6999999999998,27.6
21.33,0.0,1780.37,28.31
21.75,100.0,1858.62,27.99
22.44,0.0,1836.1799999999998,31.91
23.25,0.0,1812.9299999999998,32.94
23.96,0.0,1788.9699999999998,37.04
24.49,0.0,1764.4799999999998,36.15
25.23,0.0,1739.2499999999998,37.04
25.76,0.0,1713.4899999999998,34.56
26.26,0.0,1687.2299999999998,37.83
26.72,0.0,1660.5099999999998,40.58
27.07,0.0,1633.4399999999998,39.47
27.19,0.0,1606.2499999999998,40.58
27.36,0.0,1578.8899999999999,40.81
27.5,0.0,1551.3899999999999,39.91
27.45,0.0,1523.9399999999998,40.81
27.49,0.0,1496.4499999999998,39.47
27.7,0.0,1468.7499999999998,40.81
27.87,0.0,1440.8799999999999,40.81
28.04,0.0,1412.84,40.81
28.04,0.0,1384.8,40.81
28.19,0.0,1356.61,41.18
28.34,0.0,1328.27,41.18
28.47,0.0,1299.8,41.18
28.55,0.0,1271.25,41.18
28.77,0.0,1242.48,41.71
28.72,0.0,1213.76,39.92
28.71,0.0,1185.05,41.26
28.59,0.0,1156.46,38.7
28.58,0.0,1127.88,41.18
28.56,0.0,1099.3200000000002,39.47
28.52,0.0,1070.8000000000002,41.26
28.3,0.0,1042.5000000000002,38.36
28.14,0.0,1014.3600000000002,40.81
27.85,0.0,986.5100000000002,37.89
27.91,0.0,958.6000000000003,41.18
27.83,0.0,930.7700000000002,38.36
27.84,0.0,902.9300000000002,42.05
27.76,0.0,875.1700000000002,38.36
27.82,0.0,847.3500000000001,41.96
27.73,0.0,819.6200000000001,39.47
27.71,0.0,791.9100000000001,42.2
27.67,0.0,764.2400000000001,39.47
27.76,0.0,736.4800000000001,42.05
27.87,0.0,708.6100000000001,40.81
28.26,0.0,680.3500000000001,43.77
28.62,0.0,651.7300000000001,42.29
28.98,0.0,622.7500000000001,42.75
29.17,0.0,593.5800000000002,43.77
29.23,0.0,564.3500000000001,43.03
29.28,0.0,535.0700000000002,43.77
29.2,0.0,505.8700000000001,42.75
29.16,0.0,476.7100000000001,42.85
29.1,0.0,447.61000000000007,42.29
28.96,0.0,418.6500000000001,42.05
28.78,0.0,389.87000000000006,42.05
28.49,0.0,361.38000000000005,40.81
28.29,0.0,333.09000000000003,40.81
28.11,0.0,304.98,38.92
27.51,0.0,277.47,37.83
26.79,0.0,250.68,32.33
26.51,0.0,224.17000000000002,31.35
26.08,0.0,198.09000000000003,30.06
25.77,0.0,172.32000000000002,30.06
25.46,0.0,146.86,29.84
25.09,0.0,121.77000000000001,29.34
