,industry_demand,optimalBidamount,elecStandByCons,elecCons,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,isRunning,isIdle,isStandBy,isColdStarted
80,48195.69,10199.126,0.0,10199.126,0.0,48195.69,48195.69,0.0,0.0,0.0,47.81,1.0,0.0,0.0,0.0
81,48147.28,10188.882,0.0,10188.882,0.0,48147.28,48147.28,0.0,0.0,0.0,47.7,1.0,0.0,0.0,0.0
82,48326.86,10226.884,0.0,10226.884,0.0,48326.86,48326.86,0.0,0.0,0.0,47.35,1.0,0.0,0.0,0.0
83,48430.32,10248.778,0.0,10248.778,0.0,48430.32,48430.32,0.0,0.0,0.0,46.92,1.0,0.0,0.0,0.0
84,48472.05,10257.609,0.0,10257.609,0.0,48472.05,48472.05,0.0,0.0,0.0,46.48,1.0,0.0,0.0,0.0
85,48844.57,10336.441,0.0,10336.441,0.0,48844.57,48844.57,0.0,0.0,0.0,43.0584,1.0,0.0,0.0,0.0
86,49113.31,10393.312,0.0,10393.312,0.0,49113.31,49113.31,0.0,0.0,0.0,43.7888,1.0,0.0,0.0,0.0
87,49438.66,10462.162,0.0,10462.162,0.0,49438.66,49438.66,0.0,0.0,0.0,46.48,1.0,0.0,0.0,0.0
88,50047.38,10590.979,0.0,10590.979,0.0,50047.38,50047.38,0.0,0.0,0.0,47.48,1.0,0.0,0.0,0.0
89,50527.81,10692.647,0.0,10692.647,0.0,50527.81,50527.81,0.0,0.0,0.0,46.684,1.0,0.0,0.0,0.0
90,51135.85,10821.32,0.0,10821.32,0.0,51135.85,51135.85,0.0,0.0,0.0,46.62,1.0,0.0,0.0,0.0
91,52022.22,11008.893,0.0,11008.893,0.0,52022.22,52022.22,0.0,0.0,0.0,42.95,1.0,0.0,0.0,0.0
92,53069.26,11230.466,0.0,11230.466,0.0,53069.26,53069.26,0.0,0.0,0.0,42.96,1.0,0.0,0.0,0.0
93,54123.11,11453.481,0.0,11453.481,0.0,54123.11,54123.11,0.0,0.0,0.0,42.47,1.0,0.0,0.0,0.0
94,54920.13,11622.146,0.0,11622.146,0.0,54920.13,54920.13,0.0,0.0,0.0,42.96,1.0,0.0,0.0,0.0
95,55083.22,11656.659,0.0,11656.659,0.0,55083.22,55083.22,0.0,0.0,0.0,42.35,1.0,0.0,0.0,0.0
96,55205.51,11682.537,0.0,11682.537,0.0,55205.51,55205.51,0.0,0.0,0.0,40.82,1.0,0.0,0.0,0.0
97,55256.5,11693.328,0.0,11693.328,0.0,55256.5,55256.5,0.0,0.0,0.0,40.81,1.0,0.0,0.0,0.0
98,55267.47,11695.649,0.0,11695.649,0.0,55267.47,55267.47,0.0,0.0,0.0,39.875098039215686,1.0,0.0,0.0,0.0
99,55326.76,11708.196,0.0,11708.196,0.0,55326.76,55326.76,0.0,0.0,0.0,40.7528,1.0,0.0,0.0,0.0
100,55370.16,11717.381,0.0,11717.381,0.0,55370.16,55370.16,0.0,0.0,0.0,42.29,1.0,0.0,0.0,0.0
101,55387.18,11720.982,0.0,11720.982,0.0,55387.18,55387.18,0.0,0.0,0.0,40.74,1.0,0.0,0.0,0.0
102,55671.3,11781.107,0.0,11781.107,0.0,55671.3,55671.3,0.0,0.0,0.0,40.11,1.0,0.0,0.0,0.0
103,55925.76,11834.956,0.0,11834.956,0.0,55925.76,55925.76,0.0,0.0,0.0,40.09,1.0,0.0,0.0,0.0
104,55969.95,11844.308,0.0,11844.308,0.0,55969.95,55969.95,0.0,0.0,0.0,41.45,1.0,0.0,0.0,0.0
105,55781.56,11804.441,0.0,11804.441,0.0,55781.56,55781.56,0.0,0.0,0.0,41.43,1.0,0.0,0.0,0.0
106,55654.33,11777.516,0.0,11777.516,0.0,55654.33,55654.33,0.0,0.0,0.0,41.41,1.0,0.0,0.0,0.0
107,55734.76,11794.537,0.0,11794.537,0.0,55734.76,55734.76,0.0,0.0,0.0,41.4,1.0,0.0,0.0,0.0
108,55439.49,11732.052,0.0,11732.052,0.0,55439.49,55439.49,0.0,0.0,0.0,43.604,1.0,0.0,0.0,0.0
109,55282.46,11698.822,0.0,11698.822,0.0,55282.46,55282.46,0.0,0.0,0.0,46.27,1.0,0.0,0.0,0.0
110,55291.92,11700.823,0.0,11700.823,0.0,55291.92,55291.92,0.0,0.0,0.0,46.38,1.0,0.0,0.0,0.0
111,55239.37,11689.703,0.0,11689.703,0.0,55239.37,55239.37,0.0,0.0,0.0,46.65,1.0,0.0,0.0,0.0
112,55314.73,11705.65,0.0,11705.65,0.0,55314.73,55314.73,0.0,0.0,0.0,47.08,1.0,0.0,0.0,0.0
113,55484.83,11741.647,0.0,11741.647,0.0,55484.83,55484.83,0.0,0.0,0.0,47.0624,1.0,0.0,0.0,0.0
114,55811.58,11810.793,0.0,11810.793,0.0,55811.58,55811.58,0.0,0.0,0.0,47.51,1.0,0.0,0.0,0.0
115,55960.3,11842.265,0.0,11842.265,0.0,55960.3,55960.3,0.0,0.0,0.0,48.576,1.0,0.0,0.0,0.0
116,56325.67,11919.585,0.0,11919.585,0.0,56325.67,56325.67,0.0,0.0,0.0,49.62,1.0,0.0,0.0,0.0
117,56864.08,12033.522,0.0,12033.522,0.0,56864.08,56864.08,0.0,0.0,0.0,51.216,1.0,0.0,0.0,0.0
118,57673.63,12204.839,0.0,12204.839,0.0,57673.63,57673.63,0.0,0.0,0.0,53.71,1.0,0.0,0.0,0.0
119,58181.2,12312.25,0.0,12312.25,0.0,58181.2,58181.2,0.0,0.0,0.0,54.338452380952376,1.0,0.0,0.0,0.0
120,58950.13,12474.97,0.0,12474.97,0.0,58950.13,58950.13,0.0,0.0,0.0,54.87367965367965,1.0,0.0,0.0,0.0
121,59782.2,12651.052,0.0,12651.052,0.0,59782.2,59782.2,0.0,0.0,0.0,55.61,1.0,0.0,0.0,0.0
122,60754.84,12856.881,0.0,12856.881,0.0,60754.84,60754.84,0.0,0.0,0.0,56.0867032967033,1.0,0.0,0.0,0.0
123,61544.9,13024.073,0.0,13024.073,0.0,61544.9,61544.9,0.0,0.0,0.0,57.115207373271886,1.0,0.0,0.0,0.0
124,62406.93,13206.495,0.0,13206.495,0.0,62406.93,62406.93,0.0,0.0,0.0,55.74,1.0,0.0,0.0,0.0
125,63136.19,13360.82,0.0,13360.82,0.0,63136.19,63136.19,0.0,0.0,0.0,58.55428571428571,1.0,0.0,0.0,0.0
126,63957.37,13534.598,0.0,13534.598,0.0,63957.37,63957.37,0.0,0.0,0.0,60.18821428571429,1.0,0.0,0.0,0.0
127,64577.94,13665.922,0.0,13665.922,0.0,64577.94,64577.94,0.0,0.0,0.0,62.9728,1.0,0.0,0.0,0.0
128,65112.59,13779.064,0.0,13779.064,0.0,65112.59,65112.59,0.0,0.0,0.0,60.75,1.0,0.0,0.0,0.0
129,65627.81,13888.095,0.0,13888.095,0.0,65627.81,65627.81,0.0,0.0,0.0,63.316703296703295,1.0,0.0,0.0,0.0
130,66054.26,13978.34,0.0,13978.34,0.0,66054.26,66054.26,0.0,0.0,0.0,63.73,1.0,0.0,0.0,0.0
131,66200.98,14009.388,0.0,14009.388,0.0,66200.98,66200.98,0.0,0.0,0.0,67.05,1.0,0.0,0.0,0.0
132,66299.83,14030.307,0.0,14030.307,0.0,66299.83,66299.83,0.0,0.0,0.0,62.18,1.0,0.0,0.0,0.0
133,66467.77,14065.846,0.0,14065.846,0.0,66467.77,66467.77,0.0,0.0,0.0,62.17,1.0,0.0,0.0,0.0
134,66663.97,14107.366,0.0,14107.366,0.0,66663.97,66663.97,0.0,0.0,0.0,65.83,1.0,0.0,0.0,0.0
135,66555.63,14084.439,0.0,14084.439,0.0,66555.63,66555.63,0.0,0.0,0.0,63.69,1.0,0.0,0.0,0.0
136,66462.81,14064.797,0.0,14064.797,0.0,66462.81,66462.81,0.0,0.0,0.0,63.68,1.0,0.0,0.0,0.0
137,66538.03,14080.715,0.0,14080.715,0.0,66538.03,66538.03,0.0,0.0,0.0,60.68,1.0,0.0,0.0,0.0
138,66507.57,14074.269,0.0,14074.269,0.0,66507.57,66507.57,0.0,0.0,0.0,58.87,1.0,0.0,0.0,0.0
139,66433.06,14058.501,0.0,14058.501,0.0,66433.06,66433.06,0.0,0.0,0.0,58.87,1.0,0.0,0.0,0.0
140,66494.85,14071.577,0.0,14071.577,0.0,66494.85,66494.85,0.0,0.0,0.0,58.86,1.0,0.0,0.0,0.0
141,66627.65,14099.68,0.0,14099.68,0.0,66627.65,66627.65,0.0,0.0,0.0,58.85,1.0,0.0,0.0,0.0
142,66657.75,14106.05,0.0,14106.05,0.0,66657.75,66657.75,0.0,0.0,0.0,58.84,1.0,0.0,0.0,0.0
143,66606.73,14095.253,0.0,14095.253,0.0,66606.73,66606.73,0.0,0.0,0.0,58.84,1.0,0.0,0.0,0.0
144,66829.14,14142.319,0.0,14142.319,0.0,66829.14,66829.14,0.0,0.0,0.0,58.83,1.0,0.0,0.0,0.0
145,66845.89,14145.864,0.0,14145.864,0.0,66845.89,66845.89,0.0,0.0,0.0,58.82,1.0,0.0,0.0,0.0
146,66851.67,14147.087,0.0,14147.087,0.0,66851.67,66851.67,0.0,0.0,0.0,58.82,1.0,0.0,0.0,0.0
147,66830.51,14142.609,0.0,14142.609,0.0,66830.51,66830.51,0.0,0.0,0.0,58.81,1.0,0.0,0.0,0.0
148,66797.64,14135.653,0.0,14135.653,0.0,66797.64,66797.64,0.0,0.0,0.0,60.6,1.0,0.0,0.0,0.0
149,66792.48,14134.561,0.0,14134.561,0.0,66792.48,66792.48,0.0,0.0,0.0,59.84,1.0,0.0,0.0,0.0
150,66676.91,14110.104,0.0,14110.104,0.0,66676.91,66676.91,0.0,0.0,0.0,59.83,1.0,0.0,0.0,0.0
151,66581.07,14089.823,0.0,14089.823,0.0,66581.07,66581.07,0.0,0.0,0.0,60.58,1.0,0.0,0.0,0.0
152,66472.46,14066.839,0.0,14066.839,0.0,66472.46,66472.46,0.0,0.0,0.0,60.57,1.0,0.0,0.0,0.0
153,66283.03,14026.752,0.0,14026.752,0.0,66283.03,66283.03,0.0,0.0,0.0,62.6,1.0,0.0,0.0,0.0
154,65945.84,13955.396,0.0,13955.396,0.0,65945.84,65945.84,0.0,0.0,0.0,67.34364285714287,1.0,0.0,0.0,0.0
155,65614.54,13885.286,0.0,13885.286,0.0,65614.54,65614.54,0.0,0.0,0.0,67.38821428571428,1.0,0.0,0.0,0.0
156,65331.41,13825.371,0.0,13825.371,0.0,65331.41,65331.41,0.0,0.0,0.0,68.36,1.0,0.0,0.0,0.0
157,65128.22,13782.372,0.0,13782.372,0.0,65128.22,65128.22,0.0,0.0,0.0,79.99,1.0,0.0,0.0,0.0
158,64763.37,13705.163,0.0,13705.163,0.0,64763.37,64763.37,0.0,0.0,0.0,78.25,1.0,0.0,0.0,0.0
159,64397.91,13627.824,0.0,13627.824,0.0,64397.91,64397.91,0.0,0.0,0.0,81.99,1.0,0.0,0.0,0.0
160,63960.99,13535.364,0.0,13535.364,0.0,63960.99,63960.99,0.0,0.0,0.0,84.6,1.0,0.0,0.0,0.0
161,63781.05,13497.285,0.0,13497.285,0.0,63781.05,63781.05,0.0,0.0,0.0,87.64,1.0,0.0,0.0,0.0
162,63165.25,13366.97,0.0,13366.97,0.0,63165.25,63165.25,0.0,0.0,0.0,99.55,1.0,0.0,0.0,0.0
163,62814.63,13292.772,0.0,13292.772,0.0,62814.63,62814.63,0.0,0.0,0.0,99.54,1.0,0.0,0.0,0.0
164,62387.85,13202.457,0.0,13202.457,0.0,62387.85,62387.85,0.0,0.0,0.0,84.57,1.0,0.0,0.0,0.0
165,62163.55,13154.991,0.0,13154.991,0.0,62163.55,62163.55,0.0,0.0,0.0,87.61,1.0,0.0,0.0,0.0
166,61833.11,13085.064,0.0,13085.064,0.0,61833.11,61833.11,0.0,0.0,0.0,99.51,1.0,0.0,0.0,0.0
167,61447.09,13003.375,0.0,13003.375,0.0,61447.09,61447.09,0.0,0.0,0.0,101.62,1.0,0.0,0.0,0.0
168,61299.88,12972.222,0.0,12972.222,0.0,61299.88,61299.88,0.0,0.0,0.0,99.49,1.0,0.0,0.0,0.0
169,61257.36,12963.224,0.0,12963.224,0.0,61257.36,61257.36,0.0,0.0,0.0,99.48,1.0,0.0,0.0,0.0
170,60973.54,12903.162,0.0,12903.162,0.0,60973.54,60973.54,0.0,0.0,0.0,102.21,1.0,0.0,0.0,0.0
171,60993.06,12907.293,0.0,12907.293,0.0,60993.06,60993.06,0.0,0.0,0.0,102.2,1.0,0.0,0.0,0.0
172,60740.01,12853.743,0.0,12853.743,0.0,60740.01,60740.01,0.0,0.0,0.0,102.19,1.0,0.0,0.0,0.0
