,Iron_steel
1518,60828.0
1519,60789.63
1520,60734.11
1521,60737.11
1522,60722.67
1523,60616.54
1524,60434.36
1525,60303.11
1526,60207.06
1527,59867.78
1528,59479.34
1529,59211.89
1530,58755.05
1531,58431.29
1532,57553.51
1533,56650.37
1534,55594.97
1535,55162.13
1536,55208.28
1537,55204.36
1538,55132.64
1539,55116.01
1540,55241.99
1541,55278.35
1542,55549.17
1543,55720.84
1544,55778.58
1545,55724.14
1546,55580.13
1547,55433.44
1548,55180.05
1549,55357.18
1550,55281.3
1551,55269.46
1552,55220.25
1553,55363.15
1554,55645.74
1555,55961.57
1556,56335.69
1557,56912.02
1558,57398.25
1559,58340.84
1560,59068.59
1561,59798.01
1562,60787.17
1563,61531.71
1564,62414.93
1565,63281.82
1566,63835.88
1567,64727.04
1568,65092.43
1569,65688.74
1570,66029.15
1571,66287.48
1572,66363.45
1573,66482.23
1574,66554.47
1575,66620.27
1576,66474.12
1577,66592.91
1578,66534.73
1579,66548.33
1580,66686.42
1581,66752.03
1582,66646.33
1583,66686.66
1584,66781.04
1585,66918.69
1586,66899.96
1587,66905.47
1588,66889.17
1589,66836.73
1590,66717.35
1591,66724.05
1592,66597.18
1593,66365.64
1594,66043.29
1595,65920.74
1596,65552.25
1597,65144.88
1598,64671.41
1599,64409.18
1600,63990.51
1601,63589.49
1602,63059.2
1603,62754.04
1604,62356.05
1605,62189.31
1606,61909.26
1607,61557.85
1608,61401.87
1609,61185.49
1610,60973.68
1611,60978.92
1612,60878.76
1613,60841.78
1614,60827.78
1615,60870.84
1616,60846.95
1617,60811.15
1618,60681.88
1619,60649.46
1620,60526.68
1621,60238.5
1622,60190.0
1623,59840.21
1624,59608.18
1625,59296.62
1626,58786.44
1627,58424.4
1628,57696.3
1629,56776.48
1630,55662.85
1631,55070.65
1632,55306.19
1633,55194.95
1634,55215.14
1635,55152.07
1636,55174.08
1637,54581.47
1638,53528.67
1639,52753.24
1640,52056.31
1641,51372.87
1642,50883.96
1643,50475.89
1644,50282.35
1645,49935.35
1646,49951.03
1647,49653.25
1648,49611.19
1649,49555.42
1650,49684.02
1651,49810.53
1652,49697.53
1653,49629.68
1654,49640.11
1655,49896.23
1656,49830.78
1657,49907.34
1658,49929.43
1659,49888.58
1660,49857.33
1661,50022.72
1662,50263.19
1663,50285.65
1664,50206.04
1665,50355.24
1666,50169.62
1667,50213.04
1668,50220.1
1669,50234.34
1670,50409.85
