,demand
760,70003.16
761,69130.49
762,68151.09
763,67075.18
764,66050.71
765,65035.45
766,64230.14
767,63381.49
768,61822.72
769,61065.92
770,60301.81
771,59759.5
772,59437.06
773,59171.92
774,58763.03
775,58060.83
776,57749.85
777,58101.979999999996
778,58007.03
779,58108.45
780,58220.91
781,58176.91
782,58522.13
783,58912.01
784,59163.07
785,59852.38
786,60359.61
787,60617.08
788,61688.94
789,62311.24
790,63561.18
791,64743.19
792,67130.31
793,69758.62
794,71663.97
795,73587.21
796,75599.01
797,76746.07
798,77767.97
799,78545.97
800,79889.51
801,80476.98
802,80362.92
803,80467.95
804,80407.5
805,80895.53
806,81165.56
807,81552.48
808,81729.05
809,81634.13
810,81813.68
811,82253.52
812,82630.03
813,82683.76
814,83013.0
815,82939.44
816,82437.97
817,82268.39
818,82123.74
819,82192.45
820,82449.53
821,82207.47
822,81752.89
823,81368.81
824,81416.78
825,81426.9
826,81051.56
827,80732.92
828,80831.61
829,80338.35
830,80261.76
831,80020.44
832,80071.33
833,80200.4
834,80712.68
835,81583.11
836,82325.21
837,82945.34
838,83148.05
839,83068.86
840,82341.94
841,81906.25
842,81870.04
843,81503.14
844,81078.0
845,80360.64
846,79694.02
847,78935.35
848,77622.19
849,76300.87
850,75408.75
851,74541.08
852,73755.94
853,72991.71
854,71817.14
855,70685.16
856,70734.31
857,69943.05
858,68558.76
859,67186.73
860,65986.16
861,64783.95
862,63687.99
863,62926.03
864,62430.53
865,61948.44
866,61534.51
867,60556.95
868,59885.31
869,59372.08
870,58946.75
871,58607.63
872,58359.72
873,58210.81
874,58085.92
875,57815.51
876,58346.82
877,58213.08
878,58186.5
879,58343.520000000004
880,58724.47
881,58784.62
882,59103.92
883,59641.64
884,60709.67
885,61216.53
886,62149.53
887,63735.4
888,66341.45
889,68198.77
890,69811.07
891,71426.03
892,73821.02
893,74913.41
894,75537.83
895,76363.64
896,77860.8
897,78285.05
898,78263.9
899,78289.92
900,77974.96
901,78362.23
902,78798.0
903,78550.67
904,79350.26
905,79406.67
906,79491.26
907,79717.35
908,79984.08
909,80023.21
910,80182.23
911,79905.38
912,79799.98
913,79634.47
914,79567.84
915,79547.12
916,79725.4
917,79556.38
918,78915.8
919,78349.49
920,78110.77
921,78083.08
922,77838.65
923,77813.01
924,77838.19
925,77539.61
926,77257.31
927,77244.99
928,77117.65
929,77278.8
930,77786.86
931,78578.66
932,79613.71
933,79969.13
934,80149.17
935,80195.78
936,79657.69
937,79224.73
938,78995.63
939,78977.37
940,78725.9
941,78047.33
942,77281.9
943,76704.6
944,75728.35
945,74801.64
946,73775.09
947,72897.05
948,71983.93
949,70985.09
950,70031.92
951,69343.05
952,69617.7
953,68989.6
954,67792.11
955,67074.1
956,65575.96
957,64734.3
958,64210.729999999996
959,63526.24
960,63197.71
961,62540.770000000004
962,61924.97
963,61387.1
964,60611.92
965,59912.55
966,59603.76
967,59275.92
968,58830.5
969,58833.270000000004
970,58973.05
971,58937.729999999996
972,59024.35
973,59099.36
974,59279.09
975,59542.62
976,59867.56
977,60198.03
978,60621.45
979,61101.66
980,61940.66
981,62511.41
982,63743.45
983,65182.91
984,67874.27
985,70058.24
986,72070.87
987,73897.27
988,75668.87
989,76792.33
990,77807.0
991,78647.57
992,79382.63
993,79577.63
994,79775.44
995,80116.14
996,79926.57
997,80197.66
998,80320.02
999,80818.31
1000,80783.27
1001,80665.89
1002,81163.57
1003,80363.36
1004,81329.54
1005,81807.95
1006,81725.29
1007,80955.75
1008,81308.5
1009,80976.22
1010,80216.07
1011,79980.4
1012,80644.25
1013,80233.3
1014,78853.67
1015,77967.89
1016,78502.04
1017,77320.36
1018,77197.11
1019,76830.47
1020,76587.68
1021,76281.6
1022,76018.57
1023,75953.19
1024,76829.77
1025,76878.93
1026,77252.34
1027,77853.18
1028,78828.61
1029,79396.41
1030,79394.81
1031,79169.15
1032,78662.86
1033,78244.94
1034,78028.87
1035,77661.96
1036,77302.51
1037,76759.01
1038,76084.22
1039,75277.15
1040,73777.07
1041,72373.12
1042,71205.56
1043,70445.56
1044,69554.55
1045,68595.95
1046,67797.72
1047,66975.83
1048,66967.55
1049,66206.86
1050,65262.520000000004
1051,64407.78
1052,63186.53
1053,62330.89
1054,61529.26
1055,60967.16
1056,59037.67
1057,58117.12
1058,57388.04
1059,56892.12
1060,56162.31
1061,55532.6
1062,55286.770000000004
1063,54863.59
1064,54205.19
1065,53803.7
1066,53512.62
1067,53644.28
1068,53227.63
1069,53006.7
1070,52911.25
1071,52508.94
1072,53266.57
1073,53348.88
1074,53269.229999999996
1075,53202.09
1076,53822.76
1077,53770.42
1078,53644.0
1079,53793.97
1080,54614.58
1081,55051.75
1082,55536.39
1083,55861.66
1084,57128.78
1085,58151.96
1086,58878.47
1087,59559.56
1088,60784.31
1089,61557.64
1090,62081.45
1091,62561.39
1092,64237.729999999996
1093,65002.479999999996
1094,65555.66
1095,65807.1
1096,67256.23
1097,67474.28
1098,68016.48
1099,68033.38
1100,68766.61
1101,69316.22
1102,69481.49
1103,69530.08
1104,69183.94
1105,69193.03
1106,68935.33
1107,68518.25
1108,68098.96
1109,67373.92
1110,67142.9
1111,66737.74
1112,66494.68
1113,66140.93
1114,66100.88
1115,65851.32
1116,65723.0
1117,65604.12
1118,65567.58
1119,65647.76
1120,65866.23
1121,66254.01
1122,66713.33
1123,67754.97
1124,68964.12
1125,69379.95
1126,69409.94
1127,69363.16
1128,69719.97
1129,69176.62
1130,68863.67
1131,68674.97
1132,68029.29
1133,67270.7
1134,66469.88
1135,66011.21
1136,65050.94
1137,63899.88
1138,62840.91
1139,62258.61
1140,61363.35
1141,60979.63
1142,60425.31
1143,60217.020000000004
1144,60656.44
1145,60087.2
1146,59379.18
1147,58935.03
1148,58452.06
1149,57959.020000000004
1150,57452.18
1151,56614.79
1152,55339.05
1153,54395.74
1154,53961.07
1155,53260.74
1156,52654.69
1157,52272.18
1158,51818.08
1159,51394.17
1160,51053.76
1161,50909.36
1162,50489.68
1163,50362.54
1164,50133.46
1165,50044.020000000004
1166,50047.57
1167,49930.41
1168,49925.16
1169,49712.84
1170,50120.59
1171,50073.51
1172,50082.82
1173,49901.89
1174,49622.9
1175,49511.59
1176,49239.54
1177,49217.13
1178,49440.24
1179,50004.57
1180,50802.37
1181,51282.88
1182,52118.14
1183,52539.81
1184,54221.770000000004
1185,55078.770000000004
