,demand
732,79674.48
733,79532.02
734,79322.69
735,78819.99
736,79512.62
737,79735.51
738,80168.51
739,80358.14
740,81521.18
741,81730.6
742,81532.99
743,81474.91
744,81456.15
745,81489.99
746,81286.44
747,80842.97
748,80378.85
749,79673.11
750,79366.19
751,78668.44
752,77320.24
753,76061.73
754,74998.11
755,73534.73
756,73079.83
757,72448.7
758,71508.37
759,70862.79
760,70178.87
761,69305.3
762,68324.9
763,67247.85
764,66221.97
765,65204.45
766,64396.68
767,63547.0
768,61988.14
769,61231.7
770,60467.32
771,59924.82
772,59602.68
773,59337.76
774,58929.479999999996
775,58227.72
776,57916.51
777,58268.9
778,58173.729999999996
779,58274.94
780,58386.65
781,58342.65
782,58687.66
783,59077.35
784,59328.88
785,60018.229999999996
786,60526.2
787,60784.35
788,61856.97
789,62480.24
790,63731.76
791,64915.61
792,67304.35
793,69934.45
794,71842.13
795,73767.37
796,75780.94
797,76929.62
798,77953.12
799,78732.95
800,80077.5
801,80666.34
802,80553.24
803,80658.68
804,80598.6
805,81086.88
806,81357.1
807,81743.73
808,81920.58
809,81825.44
810,82004.85
811,82444.68
812,82821.46
813,82875.12
814,83204.52
815,83130.92
816,82630.04
817,82460.15
818,82315.73
819,82384.59
820,82641.83
821,82399.58
822,81944.79
823,81560.33
824,81608.04
825,81617.72
826,81241.89
827,80922.41
828,81020.42
829,80526.62
830,80449.25
831,80206.86
832,80256.96
833,80384.92
834,80896.32
835,81765.82
836,82507.22
837,83126.33
838,83328.49
839,83248.82
840,82521.43
841,82085.37
842,82048.77
843,81681.65
844,81256.22
845,80538.94
846,79872.37
847,79113.23
848,77800.67
849,76479.18
850,75586.8
851,74718.9
852,73933.72
853,73168.97
854,71993.81
855,70861.32
856,70909.87
857,70118.13
858,68732.69
859,67358.88
860,66157.41
861,64953.09
862,63854.21
863,63091.55
864,62596.32
865,62113.92
866,61700.18
867,60722.44
868,60050.68
869,59538.05
870,59113.31
871,58774.479999999996
872,58526.57
873,58377.62
874,58252.45
875,57981.46
876,58512.63
877,58378.57
878,58352.04
879,58508.71
880,58890.33
881,58950.479999999996
882,59270.39
883,59808.81
884,60878.229999999996
885,61385.95
886,62320.24
887,63907.95
888,66515.72
889,68374.74
890,69989.19
891,71606.29
892,74002.9
893,75097.2
894,75723.15
895,76550.42
896,78049.02
897,78474.16
898,78454.25
899,78480.97
900,78166.04
901,78553.54
902,78989.31
903,78741.99
904,79541.7
905,79597.99
906,79682.6
907,79908.76
908,80175.7
909,80214.93
910,80373.79
911,80097.3
912,79992.11
913,79826.55
914,79759.96
915,79739.34
916,79917.45
917,79748.52
918,79107.54
919,78541.15
920,78302.1
921,78274.04
922,78029.08
923,78002.63
924,78027.34
925,77727.66
926,77444.65
927,77431.43
928,77303.09
929,77463.4
930,77970.7
931,78761.6
932,79795.73
933,80150.5
934,80329.65
935,80375.71
936,79837.3
937,79404.18
938,79174.54
939,79155.82
940,78903.99
941,78225.85
942,77460.38
943,76882.78
944,75906.65
945,74979.98
946,73952.97
947,73074.99
948,72161.58
949,71162.4
950,70208.55
951,69519.28
952,69793.25
953,69164.38
954,67966.08
955,67246.74
956,65747.39
957,64903.39
958,64377.03
959,63691.9
960,63362.85
961,62705.87
962,62090.08
963,61551.89
964,60776.74
965,60074.34
966,59762.61
967,59431.1
968,58982.45
969,58982.770000000004
970,59120.51
971,59083.56
972,59168.87
973,59242.83
974,59421.79
975,59684.67
976,60009.01
977,60339.55
978,60762.95
979,61243.3
980,62082.4
981,62653.229999999996
982,63885.520000000004
983,65325.22
984,68017.2
985,70201.17
986,72214.07
987,74040.93
988,75812.26
989,76936.08
990,77950.97
991,78791.69
992,79526.71
993,79721.93
994,79919.68
995,80260.4
996,80071.29
997,80342.22
998,80464.78
999,80963.02
1000,80928.26
1001,80810.84
1002,81308.45
1003,80508.48
1004,81474.35
1005,81952.97
1006,81870.22
1007,81100.88
1008,81453.53
1009,81121.25
1010,80360.58
1011,80124.66
1012,80788.51
1013,80377.34
1014,78997.22
1015,78110.87
1016,78644.7
1017,77462.6
1018,77338.73
1019,76971.5
1020,76728.12
1021,76421.33
1022,76157.57
1023,76091.51
1024,76967.6
1025,77016.17
1026,77389.24
1027,77989.98
1028,78964.76
1029,79532.67
1030,79530.52
1031,79305.06
1032,78798.69
1033,78380.72
1034,78164.39
1035,77797.64
1036,77438.21
1037,76894.47
1038,76219.59
1039,75412.55
1040,73912.59
1041,72508.64
1042,71341.1
1043,70581.1
1044,69690.12
1045,68731.19
1046,67933.14
1047,67111.06
1048,67102.77
1049,66342.32
1050,65397.71
1051,64543.26
1052,63321.979999999996
1053,62466.47
1054,61664.79
1055,61102.62
1056,59173.22
1057,58252.520000000004
1058,57523.4
1059,57027.49
1060,56297.75
1061,55668.11
1062,55422.22
1063,54999.07
1064,54340.72
1065,53939.18
1066,53648.13
1067,53779.65
1068,53363.24
1069,53142.15
1070,53046.59
1071,52644.72
1072,53402.020000000004
1073,53484.270000000004
1074,53404.770000000004
1075,53337.53
1076,53958.21
1077,53905.979999999996
1078,53779.36
1079,53929.270000000004
1080,54750.28
1081,55187.49
1082,55671.9
1083,55997.2
1084,57264.05
1085,58287.58
1086,59014.04
1087,59695.17
1088,60919.81
1089,61693.19
1090,62216.729999999996
1091,62696.8
1092,64373.15
1093,65138.05
1094,65691.14
1095,65942.56
1096,67391.6
1097,67609.59
1098,68151.86
1099,68168.92
1100,68902.19
1101,69451.59
1102,69617.03
1103,69665.64
1104,69319.43
1105,69328.56
1106,69070.68
1107,68653.81
1108,68234.42
1109,67509.22
1110,67278.48
1111,66872.9
1112,66630.13
1113,66276.57
1114,66236.28
1115,65986.79
1116,65858.59
1117,65739.36
1118,65702.93
1119,65782.99
1120,66001.79
1121,66389.44
1122,66848.48
1123,67890.55
1124,69099.49
1125,69515.19
1126,69545.49
1127,69498.63
1128,69855.33
1129,69312.14
1130,68999.28
1131,68810.68
1132,68164.82
1133,67406.03
1134,66605.43
1135,66146.68
1136,65186.270000000004
1137,64035.5
1138,62976.94
1139,62395.33
1140,61500.47
1141,61117.78
1142,60564.65
1143,60357.88
1144,60799.32
1145,60232.45
1146,59527.35
1147,59087.0
1148,58608.37
1149,58119.37
1150,57615.99
1151,56779.84
1152,55504.35
1153,54561.19
1154,54126.69
1155,53426.22
1156,52820.37
1157,52438.28
1158,51984.37
1159,51560.72
1160,51220.42
1161,51076.01
1162,50656.08
1163,50528.72
1164,50299.35
1165,50209.61
1166,50212.64
1167,50095.95
1168,50090.79
1169,49878.83
1170,50287.22
1171,50240.55
1172,50250.79
1173,50071.22
1174,49793.66
1175,49684.03
1176,49413.74
1177,49393.42
1178,49618.41
1179,50184.520000000004
1180,50984.29
1181,51466.46
1182,52303.6
1183,52726.72
1184,54410.15
1185,55267.94
1186,56354.71
1187,56686.69
1188,58475.67
1189,59483.64
1190,60447.37
1191,61246.71
1192,61945.46
1193,62599.76
1194,63400.979999999996
1195,64201.729999999996
1196,65231.38
1197,66018.17
1198,66586.79
1199,66832.16
1200,66655.96
1201,66612.2
1202,66325.5
1203,66047.26
1204,65725.47
1205,65348.09
1206,65318.69
1207,64819.37
1208,64487.75
1209,64355.37
1210,64256.72
1211,63958.17
1212,63956.96
1213,63709.05
1214,63638.770000000004
1215,63663.18
1216,63946.9
1217,64235.01
1218,64737.67
1219,65368.11
1220,66568.43
1221,67137.25
1222,67603.31
1223,68188.17
1224,68608.03
1225,68319.58
1226,68247.7
1227,67942.44
1228,67487.9
1229,66966.13
1230,66549.64
1231,66049.22
1232,65078.34
1233,64159.61
1234,63466.36
1235,62992.83
1236,62844.36
1237,62443.75
1238,62104.270000000004
1239,62085.520000000004
1240,62683.09
1241,62199.76
1242,61681.1
1243,61126.1
1244,60196.95
1245,59458.69
1246,58850.09
1247,57844.26
1248,57152.53
1249,56732.41
1250,56295.38
1251,55706.38
1252,54615.06
1253,54401.64
1254,54317.67
1255,54070.97
1256,53737.6
1257,53528.61
1258,53428.89
1259,53994.94
1260,54030.84
1261,54102.36
1262,54253.91
1263,54465.19
1264,55073.28
1265,55623.09
1266,56273.520000000004
1267,56956.72
1268,58878.33
1269,59733.7
1270,60957.54
1271,62688.729999999996
1272,65971.09
1273,68425.47
1274,70350.61
1275,72358.96
1276,74718.9
1277,76095.52
1278,77107.23
1279,78004.57
1280,78644.83
1281,79178.19
1282,79308.55
1283,79593.92
1284,78837.61
1285,79358.13
1286,79774.02
1287,79926.95
1288,79703.17
1289,79768.84
1290,79641.53
1291,79852.91
